State,St_Abbrev,Lat,Lon,To Date,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
North Dakota,ND,47.551493,-101.002012,"1,178",9,46,51,44,38,23,49,40,47,43,45,58,58,59,74,75,63,26,30,39,27,43,31,41,34,28,23,24,9,1
Ohio,OH,40.417287,-82.907123,"30,339",281,"1,361","1,231","1,239","1,180","1,200","1,126","1,215","1,207","1,184","1,235","1,294","1,222","1,193","1,061","1,059","1,064","1,121",974,"1,006",929,893,883,843,834,871,772,724,545,592
Oklahoma,OK,35.007752,-97.092877,"6,524",45,325,319,326,260,278,278,246,225,206,216,198,225,239,252,227,223,207,203,206,163,204,240,255,227,159,137,143,133,159
Oregon,OR,43.804133,-120.554201,"7,476",38,353,311,282,290,262,278,261,304,275,286,325,290,252,336,313,300,276,244,209,220,205,229,234,236,210,163,190,156,148
Pennsylvania,PA,41.203322,-77.194525,"51,480",346,"2,080","1,994","1,803","1,866","1,643","1,708","1,931","2,007","1,996","2,055","2,250","2,110","2,063","2,003","1,891","1,716","1,617","1,659","1,636","1,700","1,628","1,533","1,370","1,559","1,521","1,494","1,516","1,381","1,404"
Puerto Rico,PR,18.220833,-66.590149,"2,364",10,141,154,156,138,124,94,93,94,104,113,88,125,96,101,72,103,81,61,71,41,25,37,32,37,38,36,35,34,30
Rhode Island,RI,41.580095,-71.477429,"1,199",6,61,46,62,42,66,52,49,53,42,50,69,76,73,76,87,84,63,53,52,37,0,0,0,0,0,0,0,0,0
South Carolina,SC,33.836081,-81.163725,"6,655",82,287,303,287,280,273,328,299,258,276,278,291,229,220,196,224,295,284,265,221,186,217,160,194,163,149,114,117,77,102
South Dakota,SD,43.969515,-99.901813,903,9,47,52,47,35,49,57,34,47,33,46,49,63,62,52,39,25,27,34,29,16,17,14,15,5,0,0,0,0,0
Tennessee,TN,35.517491,-86.580447,"17,098",143,908,857,818,796,738,789,715,776,658,680,724,620,620,584,607,549,550,533,528,498,478,440,384,438,363,366,389,295,254
Texas,TX,31.968599,-99.901813,"53,341",494,"3,131","2,803","2,627","2,431","2,355","2,318","2,367","2,190","2,166","2,165","2,052","1,999","1,940","1,899","1,814","1,636","1,629","1,603","1,523","1,401","1,335","1,360","1,290","1,260","1,215","1,172","1,101","1,086",979
Utah,UT,39.32098,-111.093731,"7,552",68,385,363,353,361,271,289,268,269,260,281,290,238,302,276,264,223,221,244,230,208,218,231,192,203,191,229,223,199,202
Vermont,VT,44.558803,-72.577841,727,5,24,16,30,25,24,38,45,33,46,41,50,38,24,37,3,6,21,24,22,25,24,27,17,5,0,15,25,15,22
Virginia,VA,37.431573,-78.656894,"16,127",125,701,649,620,633,688,624,682,713,701,679,744,685,627,601,559,578,527,511,501,521,547,461,460,426,362,368,379,233,222
Washington,WA,47.751074,-120.740139,"13,837",97,648,623,668,619,585,547,579,518,533,546,521,554,622,563,518,485,530,454,423,355,403,357,362,348,298,348,337,212,184
West Virginia,WV,38.597626,-80.454903,"1,383",6,36,25,39,43,40,44,37,35,45,48,59,50,50,65,61,53,59,79,74,73,67,36,36,32,41,34,37,44,35
Wisconsin,WI,43.78444,-88.787868,"18,988",115,803,692,691,685,646,703,672,677,734,737,767,814,776,741,796,685,625,673,639,641,630,602,562,579,473,491,492,423,424
Wyoming,WY,43.075968,-107.290284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
